customerID,gender,SeniorCitizen,Partner,PhoneService,InternetService,Contract,MonthlyCharges,tenure,Churn
0002-ORFBO,Female,0,Yes,Yes,DSL,One year,65.6,9,No
0003-MKNFE,Male,0,No,Yes,DSL,Month-to-month,59.9,9,No
0004-TLHLJ,Male,0,No,Yes,Fiber optic,Month-to-month,73.9,4,Yes
0011-IGKFF,Male,1,Yes,Yes,Fiber optic,Month-to-month,98.0,13,Yes
0013-EXCHZ,Female,1,Yes,Yes,Fiber optic,Month-to-month,83.9,3,Yes
0013-MHZWF,Female,0,No,Yes,DSL,Month-to-month,69.4,9,No
0013-SMEOE,Female,1,Yes,Yes,Fiber optic,Two year,109.7,71,No
0014-BMAQU,Male,0,Yes,Yes,Fiber optic,Two year,84.65,63,No
0015-UOCOJ,Female,1,No,Yes,DSL,Month-to-month,48.2,7,No
0016-QLJIS,Female,0,Yes,Yes,DSL,Two year,90.45,65,No
0017-DINOC,Male,0,No,No,DSL,Two year,45.2,54,No
0017-IUDMW,Female,0,Yes,Yes,Fiber optic,Two year,116.8,72,No
0018-NYROU,Female,0,Yes,Yes,Fiber optic,Month-to-month,68.95,5,No
0019-EFAEP,Female,0,No,Yes,Fiber optic,Two year,101.3,72,No
0019-GFNTW,Female,0,No,No,DSL,Two year,45.05,56,No
0020-INWCK,Female,0,Yes,Yes,Fiber optic,Two year,95.75,71,No
0020-JDNXP,Female,0,Yes,No,DSL,One year,61.25,34,No
0021-IKXGC,Female,1,No,Yes,Fiber optic,Month-to-month,72.1,1,No
0022-TCJCI,Male,1,No,Yes,DSL,One year,62.7,45,Yes
0023-HGHWL,Male,1,No,No,DSL,Month-to-month,25.1,1,Yes
0023-UYUPN,Female,1,Yes,Yes,No,One year,25.2,50,No
0023-XUOPT,Female,0,Yes,Yes,Fiber optic,Month-to-month,94.1,13,Yes
0027-KWYKW,Female,0,Yes,Yes,Fiber optic,Month-to-month,83.75,23,No
0030-FNXPP,Female,0,No,Yes,No,Month-to-month,19.85,3,No
0031-PVLZI,Female,0,Yes,Yes,No,Month-to-month,20.35,4,Yes
0032-PGELS,Female,0,Yes,No,DSL,Month-to-month,30.5,1,Yes
0036-IHMOT,Female,0,Yes,Yes,Fiber optic,One year,103.7,55,No
0040-HALCW,Male,0,Yes,Yes,No,Two year,20.4,54,No
0042-JVWOJ,Male,0,No,Yes,No,One year,19.6,26,No
0042-RLHYP,Female,0,Yes,Yes,No,Two year,19.7,69,No
0048-LUMLS,Male,0,Yes,Yes,Fiber optic,One year,91.2,37,No
0048-PIHNL,Female,0,Yes,Yes,No,One year,20.45,49,No
0052-DCKON,Male,0,Yes,Yes,Fiber optic,One year,115.8,66,No
0052-YNYOT,Female,0,No,Yes,No,One year,20.55,67,No
0056-EPFBG,Male,0,Yes,No,DSL,Two year,39.4,20,No
0057-QBUQH,Female,0,No,Yes,No,Two year,25.1,43,No
0058-EVZWM,Female,0,Yes,Yes,Fiber optic,Month-to-month,89.8,55,No
0060-FUALY,Female,0,Yes,Yes,Fiber optic,Month-to-month,94.75,59,No
0064-SUDOG,Female,0,Yes,Yes,No,Two year,20.3,12,No
0064-YIJGF,Male,0,Yes,Yes,Fiber optic,Month-to-month,75.75,27,No
0067-DKWBL,Male,1,No,Yes,DSL,Month-to-month,49.25,2,Yes
0068-FIGTF,Female,0,No,Yes,DSL,One year,78.2,27,No
0071-NDAFP,Male,0,Yes,Yes,No,Two year,25.5,25,No
0074-HDKDG,Male,0,Yes,Yes,DSL,One year,61.6,25,No
